states,cov,features,splits,ll_train_per_obs_mean,ll_train_per_obs_median,AIC_mean,BIC_mean,ll_val_per_obs_mean,ll_val_per_obs_median,ll_test_per_obs_mean,ll_test_per_obs_median,config_id
3,full,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'dow_sin', 'dow_cos', 'adx', 'mfi_14']",1,-7.697983078467595,-7.697983078467595,3079533.231387038,3081268.263736778,-7.666718922202083,-7.666718922202083,-8.316428191985757,-8.316428191985757,st3_full_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-dow_sin-dow_cos-adx-mfi_14
3,full,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'dow_sin', 'hour_sin', 'dow_cos', 'mfi_14']",1,-7.706525634516531,-7.706525634516531,3082950.2538066125,3084685.2861563526,-7.701560933055933,-7.701560933055933,-8.329692339933885,-8.329692339933885,st3_full_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-dow_sin-hour_sin-dow_cos-mfi_14
3,full,"['ret_log', 'range_hl', 'log_volume', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",1,-8.016206915885823,-8.016206915885823,3206822.766354329,3208557.798704069,-7.718832339518037,-7.718832339518037,-8.183689009614241,-8.183689009614241,st3_full_ret_log-range_hl-log_volume-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
3,full,"['ret_log', 'rolling_std_1h', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-7.905680473436563,-7.905680473436563,3162612.189374625,3164347.2217243654,-7.729986264294295,-7.729986264294295,-8.383879604940187,-8.383879604940187,st3_full_ret_log-rolling_std_1h-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx
3,full,"['ret_log', 'rolling_std_1h', 'log_volume', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",1,-8.045362419063101,-8.045362419063101,3218484.9676252403,3220219.9999749805,-7.767259477928221,-7.767259477928221,-8.343278908183256,-8.343278908183256,st3_full_ret_log-rolling_std_1h-log_volume-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
3,full,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'hour_cos', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",1,-8.088725916890596,-8.088725916890596,3235830.366756238,3237565.399105978,-7.817997712506808,-7.817997712506808,-8.474855142179685,-8.474855142179685,st3_full_rolling_std_1d-ret_log-rolling_std_1h-hour_cos-dow_sin-hour_sin-dow_cos-adx-mfi_14
3,full,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",1,-8.098695078302056,-8.098695078302056,3239818.031320822,3241553.063670562,-7.89297442568215,-7.89297442568215,-8.619124723255883,-8.619124723255883,st3_full_rolling_std_1d-ret_log-rolling_std_1h-log_volume-dow_sin-hour_sin-dow_cos-adx-mfi_14
3,full,"['rolling_std_1d', 'ret_log', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",1,-8.160518981188813,-8.160518981188813,3264547.5924755256,3266282.6248252657,-7.89845284313326,-7.89845284313326,-8.466095597652313,-8.466095597652313,st3_full_rolling_std_1d-ret_log-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
3,full,"['rolling_std_1d', 'ret_log', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-7.995416567953881,-7.995416567953881,3198506.6271815524,3200241.6595312925,-7.942030010252367,-7.942030010252367,-8.630229400626444,-8.630229400626444,st3_full_rolling_std_1d-ret_log-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx
3,diag,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd', 'dow_sin', 'dow_cos', 'adx']",1,-8.278378041806208,-8.278378041806208,3311475.2167224833,3312107.9932265063,-8.005183461094207,-8.005183461094207,-8.700106720981513,-8.700106720981513,st3_diag_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd-dow_sin-dow_cos-adx
3,diag,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'dow_cos', 'adx']",1,-8.299423844481113,-8.299423844481113,3319893.537792445,3320526.314296468,-8.04344864454582,-8.04344864454582,-8.723008632209739,-8.723008632209739,st3_diag_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd_signal-dow_sin-dow_cos-adx
3,full,"['rolling_std_1d', 'ret_log', 'range_hl', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",1,-8.48422175425229,-8.48422175425229,3394028.701700916,3395763.734050656,-8.06150454018294,-8.06150454018294,-8.717682351241065,-8.717682351241065,st3_full_rolling_std_1d-ret_log-range_hl-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
3,diag,"['ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",1,-8.297046009979413,-8.297046009979413,3318942.4039917653,3319575.1804957883,-8.072977071734163,-8.072977071734163,-8.584288223605357,-8.584288223605357,st3_diag_ret_log-range_hl-log_volume-hour_cos-macd-dow_sin-hour_sin-dow_cos-adx
3,diag,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",1,-8.479446946269924,-8.479446946269924,3391902.7785079693,3392535.5550119923,-8.074066181498038,-8.074066181498038,-8.884735364261834,-8.884735364261834,st3_diag_rolling_std_1d-ret_log-rolling_std_1h-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
