split,states,cov,n_iter,seed,features,n_params,ll_train,ll_train_per_obs,AIC,BIC,ll_val,ll_val_per_obs,ll_test,ll_test_per_obs,config_id
1,3,diag,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'mfi_14']",68,-2457951.1358102034,-12.289755679051018,4916038.271620407,4916732.284560303,-594540.2869813003,-11.890805739626007,-639246.0634750865,-12.78492126950173,st3_diag_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-mfi_14
1,2,full,200,42,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'hour_cos', 'macd', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",133,-2495912.965636745,-12.479564828183726,4992091.93127349,4993449.338935345,-606045.6184053327,-12.120912368106653,-661474.2573863041,-13.229485147726082,st2_full_rolling_std_1d-ret_log-rolling_std_1h-log_volume-hour_cos-macd-dow_sin-hour_sin-dow_cos-adx
1,2,diag,200,42,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'mfi_14']",43,-2564887.086090835,-12.824435430454175,5129860.17218167,5130299.033305427,-630904.4113239968,-12.618088226479937,-670877.3154385008,-13.417546308770017,st2_diag_rolling_std_1d-ret_log-rolling_std_1h-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-mfi_14
1,3,diag,200,42,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",68,-2476687.008308953,-12.383435041544766,4953510.016617906,4954204.029557803,-594021.9866273557,-11.880439732547114,-638806.7233209272,-12.776134466418545,st3_diag_rolling_std_1d-ret_log-rolling_std_1h-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,2,full,200,42,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'mfi_14']",133,-2503266.8521502935,-12.516334260751467,5006799.704300587,5008157.111962442,-614344.3170741327,-12.286886341482655,-663245.7388402758,-13.264914776805515,st2_full_rolling_std_1d-ret_log-rolling_std_1h-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-mfi_14
1,2,diag,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'adx', 'mfi_14']",43,-2559392.017159367,-12.796960085796835,5118870.034318734,5119308.895442491,-628144.4074202726,-12.562888148405452,-663088.1638962126,-13.261763277924251,st2_diag_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-adx-mfi_14
1,2,diag,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'ma20_rel', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",43,-2531408.0684642796,-12.657040342321398,5062902.136928559,5063340.998052317,-619482.5019782886,-12.389650039565772,-659396.5562251048,-13.187931124502096,st2_diag_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-ma20_rel-dow_sin-hour_sin-dow_cos-adx
1,2,full,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'adx', 'mfi_14']",133,-2487627.970799905,-12.438139853999523,4975521.94159981,4976879.349261665,-603417.8931583923,-12.068357863167845,-656581.8435943085,-13.131636871886169,st2_full_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-adx-mfi_14
1,3,full,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'mfi_14']",203,-2320167.100997488,-11.60083550498744,4640740.201994976,4642812.034742018,-571465.8878898531,-11.429317757797062,-605611.5545263351,-12.112231090526702,st3_full_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-mfi_14
1,3,diag,200,42,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx']",68,-2444109.281040998,-12.22054640520499,4888354.562081996,4889048.575021893,-595208.4853457268,-11.904169706914537,-643458.6440502369,-12.869172881004738,st3_diag_rolling_std_1d-ret_log-rolling_std_1h-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx
1,2,diag,200,42,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'adx', 'mfi_14']",43,-2560834.5890970905,-12.804172945485453,5121755.178194181,5122194.0393179385,-626808.0133863734,-12.536160267727467,-669054.7597951544,-13.38109519590309,st2_diag_rolling_std_1d-ret_log-rolling_std_1h-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-adx-mfi_14
1,3,diag,200,42,"['rolling_std_1d', 'ret_log', 'range_hl', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'adx', 'mfi_14']",68,-2437815.6178172817,-12.189078089086408,4875767.2356345635,4876461.24857446,-591965.4487460884,-11.839308974921769,-635824.2372606586,-12.716484745213172,st3_diag_rolling_std_1d-ret_log-range_hl-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-adx-mfi_14
1,2,full,200,42,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'adx', 'mfi_14']",133,-2496331.155070018,-12.48165577535009,4992928.310140036,4994285.717801891,-610422.1645582692,-12.208443291165384,-661312.0816969527,-13.226241633939054,st2_full_rolling_std_1d-ret_log-rolling_std_1h-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-adx-mfi_14
1,3,full,200,42,"['rolling_std_1d', 'ret_log', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'adx', 'mfi_14']",203,-2426527.0360456523,-12.132635180228261,4853460.072091305,4855531.904838347,-605686.993192724,-12.113739863854478,-642224.7351474888,-12.844494702949776,st3_full_rolling_std_1d-ret_log-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-adx-mfi_14
1,3,full,200,42,"['rolling_std_1d', 'ret_log', 'rolling_std_1h', 'log_volume', 'hour_cos', 'macd_signal', 'dow_sin', 'hour_sin', 'dow_cos', 'mfi_14']",203,-2328061.5997371236,-11.640307998685618,4656529.199474247,4658601.032221289,-573753.5946144747,-11.475071892289494,-612835.1506978772,-12.256703013957543,st3_full_rolling_std_1d-ret_log-rolling_std_1h-log_volume-hour_cos-macd_signal-dow_sin-hour_sin-dow_cos-mfi_14
